PROVINCE	GENDER	RACE	AGE	AREATYPE	HHSIZE	HHEXPENDITURE	HHINCOME
EC	Male	BLACK	57	2	2	19350.19	16939.22
EC	Male	BLACK	40	2	6	21516.52	22938.46
EC	Male	WHITE	64	2	3	26755.36	26834.52
WC	Male	COLOURED	40	1	7	20707.82	21470.13
WC	Female	COLOURED	32	1	6	20548.04	23234.21
EC	Male	BLACK	31	1	6	21677.18	21623.8
EC	Female	BLACK	33	2	1	19710.08	17000.36
WC	Male	COLOURED	54	1	6	23371.01	23261.1
EC	Female	BLACK	47	2	3	19626.43	18214.19
WC	Male	COLOURED	36	1	4	21328.13	21279.68
WC	Female	COLOURED	24	1	6	19787.8	18876.63
WC	Female	COLOURED	47	1	10	21196.29	20962.84
EC	Female	BLACK	33	2	4	21450.07	21297.28
EC	Female	BLACK	43	1	3	21044.04	20274.56
EC	Male	BLACK	46	1	6	23102.6	23800.74
WC	Female	BLACK	59	1	4	20269.98	19931.31
WC	Female	COLOURED	52	2	2	20493.86	21953.34
EC	Male	WHITE	43	1	4	26275.19	25993.34
WC	Male	COLOURED	57	1	4	22702.94	23806.17
WC	Male	BLACK	36	2	5	23137.78	21448.3
EC	Male	BLACK	28	1	2	22588.26	22439.23
WC	Male	WHITE	40	1	2	25533.93	26911.57
EC	Female	BLACK	45	2	3	19427.88	20685.96
WC	Male	BLACK	53	1	5	21939.02	21903.43
EC	Female	BLACK	65	1	2	26080.92	24389.9
EC	Male	BLACK	50	2	2	19944.07	20672.81
WC	Male	COLOURED	34	1	3	21860.3	20522.48
WC	Female	COLOURED	56	1	6	21017.91	22346.14
WC	Male	COLOURED	38	1	1	23491.85	23468.77
WC	Male	WHITE	60	2	2	24075.7	25407.52
EC	Female	BLACK	65	2	4	23455.87	19953.64
WC	Female	COLOURED	63	1	4	22535.79	19967.82
WC	Male	COLOURED	65	1	1	19689.36	21214.19
EC	Female	BLACK	52	1	3	19108.6	20289.38
WC	Male	WHITE	38	1	3	26247.25	26713.86
WC	Male	WHITE	46	1	4	25671.78	26904.37
WC	Male	COLOURED	49	1	3	19150.82	22969.74
WC	Female	COLOURED	52	1	9	21153.39	22052.33
WC	Male	WHITE	61	1	2	24909.8	23938.22
WC	Female	BLACK	25	1	3	21644.13	23366.13
EC	Female	BLACK	63	1	3	21147.03	20711.78
WC	Male	COLOURED	39	2	3	22858.12	22275.48
WC	Male	BLACK	24	1	4	20020.91	24235.7
EC	Female	WHITE	35	1	2	27185.51	27361.77
WC	Female	COLOURED	37	1	4	24972.16	24461
EC	Female	BLACK	65	1	11	20860.22	20390.09
EC	Female	BLACK	46	2	3	19437.44	21551.99
WC	Male	WHITE	23	1	1	25409.62	24568.73
EC	Female	BLACK	55	1	8	23262.7	22590.23
WC	Female	WHITE	23	1	1	24418.92	23661.97
EC	Male	BLACK	21	2	1	18678.52	17372.41
WC	Female	COLOURED	50	1	3	23436.09	24019.63
EC	Female	BLACK	57	1	7	20078.52	22104.55
EC	Male	BLACK	56	2	5	19989.12	20873.32
EC	Male	COLOURED	42	1	4	25447.7	25842.82
EC	Female	BLACK	48	1	1	19127.07	18937.6
EC	Female	BLACK	42	2	5	22501.12	19985.43
EC	Male	BLACK	62	2	1	20943.5	18695.33
WC	Male	WHITE	33	2	5	26683.15	22853.87
EC	Male	BLACK	24	2	3	20927.39	19588.37
WC	Male	BLACK	34	1	1	24974.09	23302.44
EC	Female	BLACK	44	2	5	22699.48	23189
EC	Male	BLACK	50	1	9	25543.36	24660.93
WC	Female	WHITE	24	1	2	26323.58	24542.43
EC	Male	BLACK	23	2	2	20166.81	20685.32
EC	Male	BLACK	39	2	7	23628.91	23957.6
WC	Male	BLACK	46	1	8	21510.85	20033.32
EC	Male	COLOURED	35	1	4	24263.26	23633.64
EC	Male	BLACK	33	1	1	21473.64	19722.42
WC	Male	WHITE	40	1	4	26426.31	26316.74
WC	Male	BLACK	35	2	4	21998.68	22017.55
WC	Female	WHITE	26	2	1	21509.29	22847.04
WC	Male	COLOURED	42	1	4	22205.1	23682.11
WC	Male	COLOURED	63	2	10	20423.45	24782.54
EC	Male	WHITE	51	1	2	26841.83	27864.24
EC	Male	BLACK	28	1	2	20671.67	16748.71
EC	Female	WHITE	41	1	3	22497.94	24172.17
WC	Female	COLOURED	29	1	3	24397.51	24134.13
WC	Male	COLOURED	64	2	5	21643.99	21460.69
WC	Male	COLOURED	42	1	6	23133.6	23333.42
WC	Female	COLOURED	38	2	4	20514.58	21064.3
WC	Female	BLACK	36	1	2	19137.27	18453.05
EC	Female	BLACK	61	2	4	21426.28	21233.03
EC	Male	BLACK	29	2	6	26634.48	21695.57
WC	Female	COLOURED	34	2	2	21288.88	21918.49
EC	Female	BLACK	57	1	3	20177.29	18530.07
EC	Female	BLACK	34	1	2	25082.34	24799.02
WC	Female	COLOURED	51	1	2	22226.6	22107.97
EC	Male	BLACK	38	1	4	22049	20413.71
WC	Female	COLOURED	55	1	5	25389.41	26872.83
EC	Male	BLACK	55	2	1	22591.45	23280.03
WC	Male	WHITE	28	1	2	22307.4	20638.84
EC	Female	BLACK	52	2	6	21596.3	20420.56
WC	Female	COLOURED	31	1	2	21124.63	20394.55
EC	Male	BLACK	54	2	2	19773.4	20603.11
EC	Male	BLACK	48	2	5	23451.27	21353.67
WC	Female	COLOURED	62	1	5	23671.81	23984
WC	Male	WHITE	50	1	3	25531.71	26164.48
WC	Female	COLOURED	37	1	4	22134.49	22049.36
WC	Male	BLACK	27	2	1	21381.74	20622.51
EC	Female	BLACK	51	2	4	21473.24	20322.08
WC	Male	COLOURED	46	1	2	21049.99	21628.79
EC	Male	BLACK	41	1	9	21308.67	22765.23
WC	Female	COLOURED	49	2	1	19817.78	19311.13
WC	Male	COLOURED	60	2	3	20753.8	20651.88
EC	Male	BLACK	29	1	1	23841.05	23747.17
WC	Male	COLOURED	57	2	2	20864.73	21855.2
EC	Male	BLACK	31	1	2	23134.68	24126.04
EC	Female	BLACK	50	2	4	20585.09	22566.47
EC	Male	BLACK	56	2	1	19721.28	18780.86
EC	Male	COLOURED	31	1	4	26695.09	24409.41
EC	Male	BLACK	35	1	4	20218.36	20955.11
WC	Female	BLACK	29	1	2	20306.08	20859.58
EC	Female	BLACK	55	2	1	18957.15	17815.56
WC	Female	COLOURED	33	1	5	21043.12	23463.16
WC	Female	COLOURED	32	1	3	22736.52	23060.7
EC	Male	BLACK	62	2	7	22864.21	24874.83
EC	Female	BLACK	40	2	5	26492.43	19655.68
EC	Male	BLACK	48	2	1	26564.35	20523.86
WC	Male	BLACK	37	2	1	19659.42	20587.96
EC	Male	BLACK	26	2	2	20355.13	19947.43
EC	Female	BLACK	39	1	3	22442.52	21014.05
EC	Female	COLOURED	50	1	2	19517.98	19702.33
EC	Female	BLACK	41	2	3	21422.92	20399.22
EC	Male	BLACK	60	1	2	22256.6	20199.15
EC	Male	BLACK	26	2	2	22103.33	20381.96
EC	Female	BLACK	39	2	4	21311.11	20201.05
WC	Male	BLACK	36	2	1	25635.95	25757.38
WC	Female	COLOURED	59	1	7	22018.83	22790.96
EC	Female	COLOURED	57	2	5	24562.13	24829.63
WC	Female	WHITE	24	1	1	23814.07	23380.96
EC	Male	WHITE	54	1	5	23367.98	23532.46
EC	Male	BLACK	41	1	2	20403.64	21275.81
WC	Male	COLOURED	35	1	5	23920.61	24096.43
EC	Male	BLACK	30	1	1	18870.12	18908.14
EC	Female	BLACK	31	1	1	19630.4	20267.38
EC	Female	BLACK	22	2	1	19469.45	19882.38
EC	Male	WHITE	40	1	4	26829.28	27044.32
EC	Male	BLACK	24	2	2	21480.1	21288.1
WC	Female	COLOURED	35	1	6	22070.21	22828.77
EC	Female	BLACK	51	2	8	20869.72	20052.38
EC	Male	BLACK	41	2	5	21068.05	20342.73
EC	Female	BLACK	59	2	4	19601.22	18743.23
WC	Male	COLOURED	48	1	5	24878.49	25070.08
WC	Female	BLACK	49	1	4	18729.74	19822.93
EC	Female	BLACK	60	1	8	23864.29	25326.33
EC	Male	BLACK	35	2	4	22750.12	21987.65
WC	Female	COLOURED	57	1	1	17960.42	17744.53
WC	Male	COLOURED	37	1	14	21442.61	20262.32
WC	Male	COLOURED	33	1	4	20627.62	20963.19
EC	Male	BLACK	65	2	5	21600.47	21944.79
EC	Male	WHITE	64	1	2	24617.45	18591.63
EC	Female	BLACK	45	2	1	19866.48	19444.56
EC	Male	COLOURED	40	1	5	26120.48	27524.39
WC	Female	COLOURED	49	1	8	22490.28	23143.93
EC	Male	BLACK	41	1	1	21296.08	19301.06
WC	Male	BLACK	39	1	3	21460.25	23446.44
EC	Male	WHITE	34	2	4	29733.27	28603.19
WC	Male	WHITE	58	1	2	24328.78	24998.25
WC	Female	WHITE	56	1	1	22083.34	24609.66
EC	Male	BLACK	63	1	12	21745.77	23186.32
EC	Male	BLACK	37	2	1	24928.09	23874.47
EC	Female	BLACK	51	2	1	19993.99	19900.33
EC	Female	BLACK	22	1	1	21484.11	21833.57
WC	Female	COLOURED	57	1	2	25363.98	25167.12
WC	Male	COLOURED	41	1	5	23630.86	23679.52
WC	Female	COLOURED	63	1	4	21757.72	20800.41
EC	Male	BLACK	24	1	1	20845.71	20513.17
WC	Female	COLOURED	45	1	3	23183.24	21360.43
WC	Female	COLOURED	34	2	2	18201.1	19404.71
WC	Female	COLOURED	45	1	3	24442.67	23933.97
WC	Male	BLACK	56	1	5	23011.13	21966.58
WC	Female	BLACK	46	1	5	22718.62	22629.56
EC	Female	BLACK	44	2	3	21771.86	20118.03
WC	Female	COLOURED	27	1	4	23386.79	24183.69
EC	Female	BLACK	42	2	4	20867.12	20565.08
EC	Male	COLOURED	43	1	2	18961.99	18665.28
EC	Male	BLACK	37	2	2	26393.77	24751.29
EC	Female	BLACK	52	2	7	22168.69	20717.28
WC	Female	COLOURED	49	1	2	17521.48	21836.52
EC	Male	BLACK	38	1	1	20414.74	19548.93
EC	Male	BLACK	61	2	7	22232.74	22489.02
WC	Male	COLOURED	54	1	5	23535.48	23344.32
WC	Male	COLOURED	64	1	4	22192.45	22719.85
EC	Male	COLOURED	65	2	2	19827.2	21481.52
WC	Female	COLOURED	42	1	3	20997.86	21909.8
WC	Female	COLOURED	61	1	3	22600.59	22918.51
EC	Female	BLACK	59	1	6	21878.06	21445.63
EC	Male	BLACK	45	1	7	25353.57	25645.43
EC	Female	BLACK	32	1	1	21369.12	18200.67
WC	Female	COLOURED	32	1	3	25449.93	26592.86
WC	Male	COLOURED	54	1	3	22316.91	22057.9
WC	Male	WHITE	21	2	2	25035.76	23825.23
EC	Male	BLACK	54	2	1	20444.15	18091.97
EC	Male	BLACK	25	1	4	21950.27	20328.5
WC	Male	COLOURED	44	1	8	21788.23	18636.03
EC	Male	BLACK	46	2	7	20758	21717.18
WC	Male	BLACK	37	1	7	21367.34	23999.68
EC	Female	COLOURED	52	1	7	22216.32	23444.44
WC	Male	WHITE	62	1	3	24785.75	23417.63
WC	Female	BLACK	57	1	3	25903.2	23977.73
EC	Female	BLACK	46	2	3	20718.95	20252.23
WC	Female	COLOURED	24	1	3	22302.08	22971.56
WC	Male	COLOURED	24	2	1	20985.48	20861.95
EC	Female	BLACK	46	1	10	25055.88	24562.17
EC	Female	BLACK	65	2	6	20102.24	19928.48
EC	Male	BLACK	46	2	8	22927.07	20749.66
WC	Male	WHITE	65	1	2	24804.57	22705.77
WC	Female	WHITE	53	1	3	27943.39	28586.73
EC	Male	COLOURED	50	2	4	22585.58	20920.55
EC	Female	BLACK	47	1	6	27047.57	25408.14
WC	Male	COLOURED	56	2	2	22294.27	21586.47
EC	Female	BLACK	44	2	9	21579.8	21876.09
WC	Female	COLOURED	55	1	1	20011.49	20250.65
WC	Female	BLACK	58	1	4	23089.6	23075.54
WC	Male	BLACK	49	1	5	22013.3	22545.49
WC	Male	COLOURED	62	2	2	20918.43	20986.69
WC	Female	COLOURED	48	1	2	25534.58	26139.92
EC	Male	BLACK	50	2	1	20256.38	19376.18
WC	Female	COLOURED	37	2	3	19945.93	21892.92
WC	Female	COLOURED	30	1	3	20360.61	20911.32
WC	Male	COLOURED	38	1	8	22896.19	23310.98
EC	Male	BLACK	23	2	1	20187.9	18887.62
WC	Female	WHITE	26	1	1	24374.93	24680.49
WC	Female	COLOURED	32	1	2	18475.76	20447.62
EC	Female	COLOURED	58	1	1	19970.51	20764.75
WC	Female	COLOURED	44	2	2	20326.47	21468.46
EC	Male	BLACK	32	2	10	24050.17	22835.78
EC	Female	BLACK	65	2	11	26689.95	23053.13
EC	Male	BLACK	37	1	2	19209.21	21406.05
EC	Female	BLACK	27	1	1	23671.37	24231.69
EC	Male	BLACK	51	1	3	23057.68	22385.14
EC	Male	BLACK	46	1	4	18000.3	19823.53
EC	Female	BLACK	44	2	1	17502.4	15424.94
EC	Female	BLACK	49	2	7	21556.9	21445.25
WC	Male	BLACK	25	2	1	20643.81	20622.51
WC	Female	COLOURED	31	1	3	23175.92	21983.17
EC	Male	BLACK	44	2	2	18571.63	20503.42
WC	Male	COLOURED	49	1	5	22470.39	23107.68
EC	Female	BLACK	55	2	8	24562.03	22754.19
WC	Male	COLOURED	42	1	3	24498.16	25038.59
WC	Male	COLOURED	48	1	4	24578.56	24774.63
WC	Male	BLACK	30	1	2	22228.71	21345.21
WC	Male	COLOURED	25	1	9	22353.72	23503.67
WC	Female	BLACK	27	1	3	21300.58	21338.06
EC	Male	BLACK	40	1	7	19998.78	21253.5
EC	Female	BLACK	41	2	6	19648.9	22086.29
EC	Male	COLOURED	28	1	4	24822.55	25729.28
EC	Male	WHITE	47	1	1	25052.45	26490.26
WC	Female	WHITE	23	1	1	24541.3	23787.95
WC	Male	COLOURED	39	1	3	21715.11	21903.97
WC	Male	COLOURED	42	2	2	20358.1	20857.34
WC	Male	COLOURED	48	1	5	25237.18	24170.2
WC	Male	COLOURED	52	1	10	22419	24003.21
WC	Female	COLOURED	37	1	1	28195.64	25950.84
EC	Male	BLACK	38	1	7	25906.19	26296.32
WC	Male	COLOURED	61	1	6	26758.82	27339.39
EC	Female	BLACK	65	2	10	21465.9	21841.32
WC	Male	COLOURED	45	1	4	22204.53	23491.5
WC	Male	COLOURED	37	1	7	21385.75	21708.23
WC	Male	BLACK	61	1	1	20654.03	21947.9
EC	Female	COLOURED	41	1	3	21821.2	21602.56
WC	Male	COLOURED	41	2	5	20445.24	22653.85
WC	Female	COLOURED	46	2	5	21516.84	23161.14
WC	Female	COLOURED	65	1	2	20592.89	21759.46
EC	Female	COLOURED	62	1	4	22342.64	20450.85
WC	Male	WHITE	46	2	4	27950.36	27383.01
WC	Female	COLOURED	48	2	4	23076.64	24100.93
WC	Male	BLACK	53	1	3	23686.77	25668.4
EC	Female	BLACK	55	1	6	25175.04	26242.48
WC	Male	BLACK	28	1	2	22390.83	23779.15
WC	Female	COLOURED	36	1	4	21680.96	23775.22
EC	Male	BLACK	47	1	4	28629.36	25300.56
EC	Female	COLOURED	40	1	2	19714.12	19982.28
WC	Male	WHITE	47	1	2	26943.78	26852.23
WC	Male	COLOURED	44	1	6	23045.1	24358.69
EC	Male	BLACK	40	1	1	20332.29	23125.66
EC	Male	WHITE	54	1	3	26431.89	26131.15
EC	Female	BLACK	52	2	4	21621.78	17977.5
EC	Female	BLACK	41	2	1	22168.6	21553.93
EC	Female	BLACK	56	2	5	22291.45	21475.55
EC	Male	INDIAN/ASIAN	35	1	4	26335.14	25862.43
WC	Male	BLACK	51	1	3	20124.59	21983.44
WC	Female	COLOURED	21	1	4	19996.48	18478.57
EC	Female	BLACK	56	2	2	19860.35	20627.29
EC	Female	COLOURED	57	1	5	24398.29	25754.98
EC	Female	WHITE	49	1	3	26175.95	27353.16
WC	Female	COLOURED	64	1	2	22731.36	23430.5
EC	Male	BLACK	65	2	5	20845.47	21625.74
EC	Female	BLACK	57	2	9	22209.41	21070.72
EC	Male	WHITE	22	1	2	26369.51	25307.26
WC	Female	WHITE	36	1	4	28784.59	29165.73
WC	Female	COLOURED	30	2	4	20945.47	19355.51
WC	Male	COLOURED	43	1	6	20185.38	22238.8
EC	Female	BLACK	31	2	2	20969.87	20228.43
WC	Male	COLOURED	57	1	8	21262.35	21900.81
EC	Female	BLACK	53	1	1	19882.52	21622.71
EC	Female	BLACK	45	2	2	19230.63	17811.77
EC	Female	BLACK	29	2	3	23039.13	19142.43
EC	Female	COLOURED	63	1	2	20723.88	21054.65
EC	Male	BLACK	34	1	7	23542.49	24520.04
EC	Male	BLACK	65	1	1	21928.77	23956.28
EC	Male	BLACK	32	1	3	19702	21935.5
WC	Male	COLOURED	46	1	3	20982.55	18979.24
EC	Male	WHITE	38	1	3	28445.42	28054.97
EC	Male	BLACK	60	2	3	22600.02	23523.03
WC	Female	COLOURED	42	1	4	21775.05	21188.72
WC	Female	COLOURED	48	1	6	24019.06	24662.88
WC	Male	COLOURED	28	1	4	23404.5	22129.94
EC	Male	BLACK	35	1	1	21120.36	20428.57
WC	Female	COLOURED	43	1	4	20245.42	21568.81
EC	Female	COLOURED	65	1	7	21537.08	20351.36
WC	Male	COLOURED	46	2	4	21781.32	23100.52
EC	Male	BLACK	38	1	1	19410.91	19421.62
WC	Male	COLOURED	62	2	2	19653.36	20562.27
EC	Male	COLOURED	59	2	2	19558.25	21306.78
EC	Female	COLOURED	43	1	4	18265.44	20867.5
EC	Female	BLACK	65	2	10	21447.39	22954.66
EC	Female	BLACK	41	2	4	20460.95	20713.39
WC	Male	COLOURED	27	1	3	24567.97	22998.35
WC	Male	WHITE	38	2	3	23338.39	22055.23
EC	Female	BLACK	49	2	3	20839.86	20724.55
WC	Male	COLOURED	52	1	6	21829.78	25046.46
EC	Male	BLACK	39	1	3	22467.54	22839.39
EC	Female	BLACK	65	2	6	20303.88	21497.78
WC	Female	COLOURED	54	2	3	20846.79	21950.18
EC	Male	BLACK	43	2	3	21043.57	20078.97
WC	Male	BLACK	41	1	5	19961.51	19931.17
EC	Male	COLOURED	38	2	3	21771.65	19823.53
WC	Male	COLOURED	31	2	4	20906.45	20968.94
WC	Female	COLOURED	61	1	5	21119.75	22237.73
WC	Female	BLACK	39	1	4	22543.89	21999.32
EC	Male	BLACK	51	1	1	19188.49	15210.67
EC	Female	BLACK	29	1	3	20759.56	19901.37
WC	Female	COLOURED	36	1	4	24294.01	25271.78
WC	Female	COLOURED	39	2	2	22132.98	21934.71
EC	Male	BLACK	33	2	3	19446.17	21329.68
WC	Male	COLOURED	41	1	3	21546.55	22059.97
EC	Male	BLACK	45	1	2	20042.18	19333.51
WC	Female	COLOURED	37	1	3	19316.36	17729.99
EC	Female	BLACK	60	2	8	21183.76	19985.53
EC	Male	BLACK	58	2	1	20327.06	15399.22
EC	Male	WHITE	63	1	1	21967.43	22147.23
EC	Male	COLOURED	57	1	2	29059.41	27634.77
WC	Male	COLOURED	41	1	5	23687.23	22366.22
EC	Male	BLACK	39	1	1	25449.19	25844.98
WC	Male	COLOURED	49	1	6	21435.74	21968.26
EC	Male	BLACK	35	2	4	22946.67	21807
EC	Male	WHITE	53	1	3	27023.17	26774.88
WC	Male	BLACK	37	1	1	22786.8	21955.85
WC	Male	COLOURED	56	1	1	20386.39	19969.01
WC	Male	COLOURED	31	1	14	21462.51	23329.18
WC	Female	COLOURED	58	1	2	21901.29	22380.11
WC	Male	BLACK	31	1	4	21030.42	23493.18
WC	Male	COLOURED	47	1	4	24308.46	26320.07
WC	Female	COLOURED	52	1	7	24350.17	25070.52
EC	Male	BLACK	35	2	3	17837.39	18177.34
EC	Female	WHITE	38	1	1	27335.74	25442.22
EC	Male	BLACK	48	1	1	21870.75	20138.79
EC	Female	WHITE	65	1	1	23057.17	24722.17
WC	Female	COLOURED	53	1	8	22311.78	24898.34
EC	Male	COLOURED	28	2	2	20227.4	21587.53
WC	Female	COLOURED	53	1	3	22370.09	21403.77
WC	Male	BLACK	54	1	4	25248.44	24970.14
EC	Male	BLACK	57	1	6	21271.15	23946.63
EC	Male	BLACK	24	2	6	21405.17	19993.91
WC	Female	COLOURED	40	1	2	22773.03	22953.79
WC	Female	COLOURED	35	1	6	19538.43	21583.81
EC	Male	COLOURED	48	1	2	25622.79	25408.31
WC	Male	BLACK	35	2	3	21081.09	20968.94
WC	Female	COLOURED	48	1	1	23246.92	24100.46
EC	Male	BLACK	21	2	1	17871.5	17639.78
WC	Male	BLACK	33	1	3	19003.21	20461.43
EC	Male	COLOURED	40	1	8	23614.58	25666.34
WC	Male	COLOURED	32	1	4	21722.84	22494.15
WC	Male	WHITE	59	1	2	25521.08	25392.68
EC	Female	COLOURED	41	2	4	20611.33	21078.57
EC	Female	BLACK	35	2	5	22642.39	21197.75
WC	Male	COLOURED	52	1	5	23570.19	22808.82
EC	Female	BLACK	43	2	5	20205.75	21319.35
EC	Male	BLACK	27	1	7	21075.4	22417.43
EC	Female	COLOURED	65	1	9	22785.87	22355.71
EC	Female	BLACK	38	1	4	23055.57	21124.67
WC	Male	BLACK	32	1	2	20527.21	22279.49
EC	Male	BLACK	37	2	5	20604.82	19330.25
EC	Male	BLACK	30	1	6	23652.18	23118.19
WC	Male	BLACK	36	1	3	23401.98	24013.41
EC	Female	COLOURED	46	1	10	24308.96	25432.82
EC	Female	BLACK	37	1	7	22057.26	22230.16
EC	Female	WHITE	33	1	4	28283.9	27353.55
EC	Female	BLACK	38	2	6	22468.52	21899.6
WC	Male	COLOURED	40	2	5	21010.49	21926.78
EC	Male	BLACK	49	2	1	19400.55	16780.87
WC	Female	WHITE	44	2	2	27355.87	24737.69
EC	Male	BLACK	33	1	4	22012.77	22809.83
WC	Male	COLOURED	40	1	3	22009.77	23560.67
WC	Female	COLOURED	26	1	2	20513.35	20775.65
EC	Male	BLACK	41	2	4	19822.48	19134.16
EC	Male	COLOURED	55	1	4	20480.86	21374.1
WC	Female	COLOURED	48	1	7	21452.82	21781.11
EC	Female	BLACK	32	2	4	19228.8	19111.41
WC	Male	COLOURED	42	2	3	22130.62	22702.76
WC	Female	COLOURED	41	1	5	20493.71	19932.16
EC	Male	BLACK	42	2	1	19719.14	18791.73
EC	Female	COLOURED	58	1	5	24375.89	22125.3
WC	Male	WHITE	65	1	1	22926.5	22088.04
WC	Male	BLACK	42	1	7	22095.17	22259.66
EC	Male	BLACK	23	2	2	20035.84	13678.7
EC	Female	BLACK	40	2	6	21912.16	21392.76
EC	Female	BLACK	27	2	4	20519.19	19633.32
EC	Female	BLACK	40	2	4	21195.83	20926.52
EC	Female	BLACK	50	1	2	20679.4	21454.01
EC	Female	BLACK	30	2	4	20270.97	22039.42
EC	Male	BLACK	56	2	4	20694.06	19280.35
WC	Female	COLOURED	23	1	4	19803.25	20598.42
EC	Male	BLACK	40	2	2	19834.83	20003.31
WC	Female	COLOURED	52	1	3	22311.71	23112.47
EC	Female	BLACK	65	1	4	21100.74	21486.15
EC	Male	COLOURED	44	1	5	24573.32	25138.79
WC	Female	COLOURED	54	1	6	21315.22	23394.73
